fs,fft_x_mag,fft_y_mag,fft_z_mag,psd_x,psd_y,psd_z
218.375,0.0073596632985396164,0.008548507282215912,0.00761999580120568,0.0002166585754714841,0.00029230790701639396,0.00023225734404156876
218.5,0.009220236699118733,0.009631481413381954,0.017523165572026614,0.0003400510591511036,0.0003710617368652882,0.0012282453266586352
218.625,0.0017390431819305394,0.002543698161300127,0.008625476717636507,1.209708475447638e-05,2.5881601343206585e-05,0.0002975953944259578
218.75,0.006286506544429753,0.006294834793736435,0.00483563842876872,0.00015808065813263246,0.00015849978032173931,9.353359605513926e-05
218.875,0.008666183242861529,0.0015855235767304316,0.0029941173827161827,0.00030041092799541584,1.0055540049472243e-05,3.585895560593282e-05
219.0,0.011632786646342584,0.002302406482277568,0.014593919482311483,0.0005412869006373054,2.120430243853506e-05,0.0008519299434247626
219.125,0.004747901467743069,0.002089571587959642,0.007062415407438786,9.017027338958714e-05,1.746523768483272e-05,0.000199510845548915
219.25,0.00783350252279705,0.0009808920055464688,0.0034674946010293437,0.00024545504709867094,3.848596506179895e-06,4.809407523267059e-05
219.375,0.006995785725583216,0.009797775115093986,0.009491260246306947,0.00019576407167309554,0.00038398558882381993,0.0003603360842525064
219.5,0.0015333163432996704,0.0035947938942975646,0.008712624719952622,9.404236034519492e-06,5.16901725699162e-05,0.00030363931804291804
219.625,0.015268388502316873,0.00228786391732807,0.005703462719302867,0.0009324947498307283,2.093728521684697e-05,0.0001301179479619106
219.75,0.007536632327865519,0.010905706237806671,0.01443184722254881,0.00022720330738171054,0.00047573771418134135,0.0008331128570199592
219.875,0.0017530091809790731,0.01287608007404756,0.009593379551545038,1.2292164754387682e-05,0.0006631737522931385,0.0003681317248800099
220.0,0.004756905339623033,0.008873896686739382,0.015169826527950118,9.05125936405365e-05,0.0003149841696276967,0.0009204945475523965
220.125,0.007014511763457686,0.007650592557468148,0.011740044898398189,0.00019681350111874503,0.0002341262659215481,0.0005513146168656214
220.25,0.010656547634054176,0.010145797197676413,0.01629227367935,0.0004542480299074626,0.00041174880310551425,0.001061752726571363
220.375,0.011804405412932373,0.007503825584468595,0.005673591434639944,0.0005573759486114684,0.00022522959360850178,0.00012875855906887895
220.5,0.014156763070997799,0.0021173712909874688,0.00482999587947386,0.0008016557625934682,1.793304473559176e-05,9.331544078293787e-05
220.625,0.011531353561246847,0.006465509634022423,0.01336901882786768,0.0005318884598179214,0.00016721125931054706,0.0007149226576795222
220.75,0.008487189271547766,0.011467005114673544,0.01992936800216379,0.000288129526924302,0.0005259688251997969,0.0015887188358626797
220.875,0.01620851574752622,0.008082846112767869,0.018027088749963,0.001050863930951222,0.0002613296051307466,0.0012999037151961706
221.0,0.002696356839396593,0.005867666629175849,0.007912858894243991,2.908136082144314e-05,0.00013771804668457547,0.00025045334352086495
221.125,0.01072509484863532,0.006403679514757149,0.0020574120071288468,0.00046011063804889547,0.0001640284453108814,1.6931776668311798e-05
221.25,0.00866292715595278,0.011029855562641995,0.01077692569953702,0.0003001852276373764,0.0004866308549309783,0.00046456851013336594
221.375,0.0030786132304747014,0.007232788127710123,0.00925080418517129,3.791143769141551e-05,0.00020925289640137803,0.00034230951228953057
221.5,0.005362963090439568,0.0073732576685302115,0.010949235558714793,0.0001150454924376685,0.0002174597145861583,0.0004795430372808978
221.625,0.008410165174386197,0.00843521473569946,0.005746506503954408,0.00028292351304183365,0.0002846113905494452,0.00013208934799996123
221.75,0.004770881661932245,0.003291938497636722,0.005351792247618799,9.104524732864554e-05,4.3347436288890876e-05,0.0001145667210466907
221.875,0.014750812948630038,0.006052764034738134,0.012695690857894133,0.0008703459305818863,0.0001465438098408778,0.0006447222654368667
222.0,0.006826843783987767,0.005135340865932258,0.023626072464285885,0.00018642318420388965,0.00010548690323725548,0.002232765200350751
222.125,0.012539715569008326,0.006837860126510938,0.007689112224327581,0.0006289778662065192,0.00018702532443891275,0.0002364897871932154
222.25,0.003801268753416302,0.010871798357649298,0.01615738128713263,5.779857654279651e-05,0.00047278399811754386,0.0010442438802311345
222.375,0.006660162665931199,0.005913688941880032,0.01213789970464459,0.0001774310669466551,0.0001398868676052567,0.0005893144369600449
222.5,0.009523338844809609,0.00749291039664655,0.009207219799779773,0.00036277593101223846,0.00022457482484869584,0.0003390915857658267
222.625,0.018347140877355624,0.0039572323288656714,0.011274698319981421,0.0013464703134941347,6.263875081847851e-05,0.0005084752888263675
222.75,0.016190834518002812,0.009313415911350154,0.011355902098770404,0.0010485724895574055,0.00034695886375116084,0.0005158260499074323
222.875,0.008360850634339752,0.0036271115513901216,0.006848296991798542,0.00027961529331895776,5.262375282491062e-05,0.00018759668675150785
223.0,0.004429497201459122,0.006748370940051577,0.009956819333814789,7.848178183093678e-05,0.0001821620413781304,0.0003965530049849119
223.125,0.005996359479521374,0.008277676881186066,0.0034911288949277526,0.00014382530803058337,0.00027407973819728915,4.8751923843997885e-05
223.25,0.019311883452021582,0.007247465251349331,0.0015217417317290698,0.00149179536985786,0.00021010301027806408,9.262791592343153e-06
223.375,0.009352660603836549,0.0023520259727942082,0.0031977128113937375,0.000349889041482225,2.2128104706794168e-05,4.090146889660656e-05
223.5,0.006014379138134679,0.010044753833094252,0.005277173220649692,0.00014469102566891858,0.00040358831826984665,0.00011139422880296896
223.625,0.006172921713675082,0.010184618893622186,0.007984618528668375,0.00015241984993264525,0.00041490584803330403,0.0002550165321934173
223.75,0.004505337391758864,0.008553659404924831,0.017171041327839618,8.119226005432225e-05,0.00029266035686183607,0.0011793786411295045
